author,title,url
Kisfaludy Sándor,FRANGYEPÁN ERZSÉBET.,https://verskorpusz.elte-dh.hu/view.php?id=6180
Kisfaludy Sándor,Himfy szerelmei,https://verskorpusz.elte-dh.hu/view.php?id=6181
Kisfaludy Sándor,TÁTIKA.,https://verskorpusz.elte-dh.hu/view.php?id=6176
